Principal Components Analysis
Call: principal(r = fl17_facs, nfactors = 10, rotate = "varimax")
Standardized loadings (pattern matrix) based upon correlation matrix
              RC4   RC2  RC10   RC1   RC7   RC6   RC3   RC8   RC9   RC5   h2
bfi_42      -0.04 -0.04  0.21  0.15  0.08  0.03  0.25  0.57  0.17  0.05 0.49
bfi_43R     -0.02  0.52 -0.32  0.17 -0.13  0.13  0.04  0.05 -0.14 -0.19 0.49
bfi_44      -0.07  0.00 -0.05 -0.05  0.03  0.38  0.18 -0.02  0.06  0.10 0.20
ffmq_1      -0.12  0.03  0.14  0.23  0.22  0.30 -0.09  0.02  0.04  0.25 0.29
ffmq_2       0.04 -0.12  0.10  0.15 -0.05  0.21  0.42  0.18  0.11  0.17 0.34
ffmq_3R     -0.14  0.47 -0.23  0.10  0.02  0.19 -0.18 -0.03 -0.18 -0.09 0.41
ffmq_4R     -0.22  0.44 -0.14  0.06  0.17  0.13 -0.19 -0.06 -0.13  0.08 0.38
ffmq_5       0.23 -0.19  0.02  0.18 -0.02  0.15  0.12  0.12 -0.08 -0.02 0.18
ffmq_6      -0.07  0.31  0.00 -0.03  0.04  0.31  0.08  0.10 -0.05  0.05 0.22
ffmq_7R      0.03  0.27 -0.12 -0.08  0.08 -0.07 -0.40 -0.06 -0.25  0.03 0.33
ffmq_8R     -0.16  0.20  0.15  0.07  0.09 -0.08  0.01  0.00  0.06  0.02 0.11
ffmq_9R      0.05  0.37 -0.09  0.04  0.22  0.18 -0.36 -0.27 -0.14  0.13 0.47
ffmq_10      0.43 -0.12  0.06  0.20 -0.01 -0.03  0.03 -0.04 -0.07 -0.15 0.27
ffmq_11      0.08  0.12  0.09  0.12  0.04  0.33 -0.01  0.14  0.06 -0.07 0.18
ffmq_12      0.14 -0.16  0.07  0.12 -0.04  0.21  0.35  0.12  0.13  0.07 0.27
ffmq_13R    -0.13  0.43 -0.01  0.00  0.00  0.02 -0.13 -0.12 -0.16  0.00 0.26
ffmq_14R     0.01  0.48 -0.05 -0.03  0.14  0.20 -0.31 -0.24 -0.21  0.17 0.52
ffmq_15      0.39 -0.16  0.11 -0.01 -0.01 -0.15  0.04  0.10  0.11 -0.06 0.24
uh.vmi_1     0.31  0.00  0.13  0.10  0.18  0.09  0.10 -0.01  0.55 -0.04 0.47
uh.vmi_2     0.21 -0.17  0.00  0.18  0.11  0.07  0.05  0.06  0.69 -0.05 0.61
uh.vmi_3     0.28 -0.21  0.04  0.08  0.37  0.10  0.03 -0.15  0.41 -0.14 0.49
uh.vmi_4     0.52 -0.10 -0.09  0.00  0.25  0.14  0.11 -0.10  0.35 -0.05 0.52
uh.vmi_5     0.30 -0.06 -0.09  0.10  0.14  0.22 -0.02 -0.04  0.62  0.05 0.56
uh.vmi_6     0.29 -0.17 -0.01  0.18  0.16  0.01  0.10  0.09  0.64 -0.06 0.60
uh.vmi_7     0.50 -0.06 -0.12 -0.12  0.28  0.05  0.05  0.01  0.38 -0.08 0.51
uh.vmi_8     0.18 -0.27  0.04  0.01  0.10 -0.03  0.20  0.20  0.40  0.20 0.40
uh.vmi_9     0.35 -0.18 -0.09  0.14  0.14  0.00  0.04  0.04  0.54  0.07 0.50
auth_1       0.04 -0.02  0.31  0.29  0.15  0.07  0.08  0.20  0.29 -0.18 0.37
auth_2       0.13 -0.07  0.37  0.29  0.04 -0.01 -0.05  0.20  0.22 -0.21 0.38
auth_3      -0.01 -0.15  0.02  0.14  0.09  0.41  0.09  0.16  0.09  0.02 0.25
auth_4      -0.03 -0.08  0.36  0.10  0.12  0.25  0.16  0.01  0.14 -0.11 0.28
auth_5      -0.06 -0.11  0.21  0.53  0.09 -0.07 -0.03 -0.11  0.26 -0.23 0.49
auth_6       0.10 -0.11  0.07  0.29 -0.04  0.29 -0.02  0.36  0.30 -0.09 0.42
auth_7       0.01 -0.07  0.12  0.33  0.01  0.25  0.06  0.09  0.31 -0.11 0.31
auth_8      -0.03  0.08  0.10  0.39  0.10  0.21  0.11  0.10  0.31 -0.06 0.35
auth_9       0.01 -0.12  0.27  0.16 -0.02 -0.15 -0.03 -0.09  0.35 -0.25 0.34
auth_10      0.13 -0.09  0.16  0.19  0.06  0.24 -0.12  0.08  0.25 -0.13 0.25
auth_11      0.12 -0.20  0.26  0.10  0.06  0.20  0.18  0.20  0.31 -0.06 0.35
auth_12      0.04 -0.08  0.26  0.12  0.23  0.20  0.15  0.32  0.36 -0.16 0.48
auth_13     -0.02 -0.08  0.28  0.24  0.08  0.00 -0.02  0.20  0.32 -0.22 0.34
auth_14     -0.03 -0.09  0.11  0.26  0.10  0.27  0.04  0.22  0.29 -0.22 0.36
grt_1       -0.04  0.47 -0.26  0.17  0.03  0.22 -0.14 -0.07 -0.04  0.06 0.39
grt_2        0.44 -0.36  0.07 -0.02  0.24  0.09  0.04  0.00  0.01 -0.14 0.42
grt_3       -0.07  0.45 -0.23  0.11  0.09  0.07 -0.12  0.02 -0.06  0.06 0.31
grt_4       -0.15 -0.18  0.51  0.02  0.31 -0.01  0.04  0.12  0.10  0.04 0.44
hum_1        0.08 -0.26  0.21  0.05 -0.03  0.00 -0.37  0.38  0.00 -0.03 0.40
grt_5       -0.09  0.41 -0.27  0.07 -0.01  0.08 -0.04 -0.05 -0.14  0.04 0.29
grt_6       -0.04  0.56 -0.34  0.03 -0.17  0.03 -0.10  0.12 -0.08 -0.05 0.49
grt_7        0.09 -0.24  0.45 -0.02  0.28 -0.12  0.08  0.11 -0.04 -0.09 0.39
grt_8        0.03 -0.17  0.41  0.21  0.44 -0.10  0.04  0.14  0.07  0.05 0.47
hum_2        0.11 -0.17  0.20  0.06  0.08  0.06 -0.29  0.45 -0.04 -0.14 0.40
chalFreq     0.04  0.02  0.31  0.00  0.34  0.17  0.09 -0.05 -0.07 -0.10 0.27
leadChal_1   0.15 -0.01  0.23  0.30  0.57  0.01  0.16 -0.04  0.19 -0.04 0.56
leadChal_2   0.13 -0.10 -0.04  0.09  0.73  0.13  0.12 -0.02  0.06 -0.03 0.61
leadChal_3   0.16 -0.02  0.15  0.28  0.56  0.15  0.07  0.02  0.03 -0.07 0.48
leadChal_4   0.37 -0.10  0.04  0.33  0.45  0.02  0.12 -0.05  0.08 -0.13 0.49
leadChal_5   0.18 -0.07  0.02  0.08  0.55  0.22  0.22 -0.01  0.08  0.09 0.45
leadChal_6   0.12 -0.11  0.23  0.22  0.41  0.23  0.05  0.13  0.34  0.06 0.48
leadChal_7   0.29 -0.11  0.17  0.20  0.49  0.06  0.05 -0.06  0.21 -0.13 0.47
leadChal_8   0.11 -0.09  0.25 -0.02  0.65  0.23  0.05 -0.02  0.10 -0.01 0.57
leadChal_9   0.19 -0.19  0.28  0.09  0.41  0.24  0.00  0.11  0.17 -0.15 0.44
leadChal_10  0.28 -0.14  0.21  0.06  0.57  0.18  0.03 -0.06  0.17  0.00 0.54
leadChal_11  0.04  0.06  0.28  0.01  0.62  0.18  0.16  0.02  0.11  0.13 0.55
leadChal_12  0.09 -0.16  0.25  0.23  0.50  0.08  0.00  0.06  0.09 -0.04 0.42
leadChal_13  0.22 -0.09  0.23  0.07  0.70  0.07  0.10 -0.10  0.10  0.02 0.64
sc.hw_1R    -0.05  0.63  0.15  0.01 -0.20 -0.03 -0.03  0.12  0.08 -0.19 0.53
sc.hw_2R     0.01  0.68  0.08  0.05 -0.17 -0.08  0.10  0.06  0.03 -0.20 0.56
sc.hw_3R    -0.16  0.60 -0.08 -0.04 -0.18 -0.10  0.01 -0.03  0.00 -0.03 0.44
