Principal Components Analysis
Call: principal(r = sp17_facs, nfactors = 10, rotate = "varimax")
Standardized loadings (pattern matrix) based upon correlation matrix
              RC1   RC2  RC10   RC3   RC4   RC7   RC5   RC9   RC8   RC6    h2
uh.vmi_8     0.25  0.23  0.34  0.00 -0.08  0.08 -0.13  0.08 -0.16  0.11 0.307
uh.vmi_9     0.23  0.31  0.45 -0.08 -0.03 -0.07 -0.16  0.01 -0.17  0.03 0.421
auth_1       0.28  0.05  0.62 -0.21  0.23  0.01 -0.01  0.17  0.17 -0.06 0.617
auth_2       0.47  0.10  0.55 -0.11  0.17  0.18 -0.07  0.13  0.01  0.04 0.628
auth_3       0.26  0.04  0.26 -0.11  0.18  0.21  0.22 -0.01  0.12 -0.18 0.321
auth_4       0.24  0.05  0.51 -0.07  0.20  0.13  0.10  0.03  0.24  0.01 0.450
auth_5       0.32 -0.09  0.37 -0.08  0.23  0.11 -0.17  0.02 -0.03  0.03 0.348
auth_6       0.21 -0.02  0.54  0.05  0.14  0.31  0.21 -0.10 -0.06 -0.17 0.543
auth_7       0.29 -0.03  0.60  0.00  0.16  0.16 -0.03  0.03  0.01  0.01 0.494
auth_8       0.22 -0.04  0.54  0.07  0.18  0.15  0.09  0.01 -0.02 -0.02 0.414
auth_9       0.21  0.02  0.40 -0.21  0.15 -0.10 -0.04 -0.04 -0.09  0.00 0.295
auth_10      0.22  0.03  0.61 -0.07  0.13  0.06 -0.08 -0.04 -0.06  0.04 0.461
auth_11      0.24  0.00  0.56 -0.14  0.21  0.09  0.00  0.00  0.09  0.00 0.456
auth_12      0.15  0.08  0.64 -0.28  0.14  0.10  0.13  0.12  0.07  0.07 0.584
auth_13      0.22  0.01  0.67 -0.13  0.24  0.12 -0.08  0.04 -0.13  0.14 0.632
auth_14      0.11 -0.02  0.50  0.02  0.08  0.19  0.16 -0.06 -0.17 -0.01 0.363
grt_1       -0.01  0.03 -0.18  0.44  0.12  0.05  0.20 -0.07 -0.01 -0.02 0.291
grt_2        0.09  0.25  0.05 -0.24 -0.02 -0.06  0.19  0.05  0.11 -0.06 0.190
grt_3       -0.08  0.04  0.01  0.36  0.00 -0.04  0.17  0.15  0.10  0.09 0.212
grt_4        0.35 -0.04  0.19 -0.22  0.05  0.20 -0.02  0.14 -0.16  0.36 0.429
hum_1        0.19 -0.02  0.07  0.01 -0.11  0.53  0.12 -0.11  0.03 -0.01 0.365
grt_5       -0.15  0.07 -0.10  0.52 -0.12 -0.02  0.31 -0.02 -0.03  0.01 0.424
grt_6        0.11  0.00  0.04  0.62 -0.11  0.00  0.06  0.05 -0.06 -0.02 0.424
grt_7        0.23  0.05  0.03 -0.39  0.05  0.10 -0.06  0.01 -0.04  0.45 0.431
grt_8        0.23 -0.02  0.12 -0.34  0.18  0.16  0.12  0.07  0.04  0.37 0.399
hum_2        0.23 -0.01  0.15 -0.07  0.05  0.56  0.12 -0.14  0.07  0.07 0.435
chalFreq     0.29 -0.07  0.06 -0.17  0.26 -0.03  0.24  0.22  0.21 -0.02 0.340
leadChal_1   0.66  0.04  0.21 -0.06  0.14 -0.06  0.12  0.19  0.08  0.09 0.576
leadChal_2   0.70  0.01  0.15 -0.11  0.17 -0.18  0.12  0.10  0.03 -0.06 0.621
leadChal_3   0.67  0.06  0.18 -0.13  0.27 -0.10  0.03  0.13  0.09 -0.05 0.608
leadChal_4   0.65  0.20  0.04 -0.21  0.12 -0.12  0.06  0.02  0.02 -0.10 0.547
leadChal_5   0.68  0.15 -0.02 -0.25  0.11 -0.25  0.03  0.18  0.07 -0.08 0.661
leadChal_6   0.67  0.05  0.16  0.02  0.14  0.11  0.05 -0.14  0.02  0.09 0.543
leadChal_7   0.62  0.14  0.20 -0.13  0.16  0.01  0.02  0.03  0.14 -0.01 0.508
leadChal_8   0.62  0.22  0.00 -0.03  0.12 -0.09  0.14  0.10  0.00 -0.09 0.496
leadChal_9   0.60  0.11  0.14 -0.07  0.20  0.09  0.12  0.03 -0.10 -0.03 0.468
leadChal_10  0.53  0.19 -0.04 -0.16  0.29 -0.12  0.24  0.05  0.21  0.11 0.552
