"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi"
5.88,6.86666666666667,2,2.625,5.42857142857143,5.6,3.8,5.15384615384615,4,3.77777777777778
4.12,5.86666666666667,1,2.125,5.28571428571429,5.93333333333333,4.2,3.38461538461538,4,4
5.8,6.33333333333333,2.83333333333333,4.75,6.42857142857143,6.2,3.6,6.46153846153846,4,7.33333333333333
5.96,6.33333333333333,2.25,3.125,5.92857142857143,6.4,3.8,5.61538461538461,4,6.44444444444444
6.08,5.33333333333333,1.91666666666667,2.75,5,4.8,5,4,4,6.33333333333333
6.36,6.06666666666667,1.41666666666667,4.375,6.14285714285714,6,1.8,6.30769230769231,4,7.55555555555556
4.8,6.13333333333333,2.25,3.125,5.21428571428571,4.86666666666667,4.6,5.92307692307692,4,6.55555555555556
4.32,4.4,2.5,2.875,4.85714285714286,4.13333333333333,5.2,3.76923076923077,4,3.88888888888889
4.6,5.86666666666667,1.66666666666667,2.875,4.07142857142857,5.4,3.8,5.53846153846154,4,4
4.04,6.8,2,3.75,5.21428571428571,5.33333333333333,1.8,5.69230769230769,4,4.22222222222222
5.64,5.53333333333333,1.83333333333333,3,5,5.13333333333333,3.4,4.76923076923077,4,5.33333333333333
5.08,5.6,2.16666666666667,4,5.14285714285714,5.8,3,5.76923076923077,4,5.55555555555556
5.92,6.13333333333333,2.41666666666667,2.25,4.92857142857143,4.93333333333333,4.2,4.84615384615385,4,6.44444444444444
4.92,5.4,2.16666666666667,2.75,5.42857142857143,4.86666666666667,4.8,5.15384615384615,4,4.44444444444444
5.8,6.13333333333333,2.5,4.25,6.5,6,4.4,6,4,6.77777777777778
5.76,6.33333333333333,2.58333333333333,3.25,6.57142857142857,6.53333333333333,3.2,5.84615384615385,4,6.44444444444444
5.44,7,2.08333333333333,3.125,6.35714285714286,4.53333333333333,2.2,6,4,6.55555555555556
3.2,4.46666666666667,2.08333333333333,3,4.71428571428571,4.6,5.4,4.38461538461539,4,1.33333333333333
5.24,6.86666666666667,3.16666666666667,4.375,6.64285714285714,6.33333333333333,2.6,6.38461538461539,4,6.44444444444444
4.32,5.53333333333333,2.58333333333333,3.5,5.07142857142857,4.66666666666667,4.2,3.07692307692308,4,5.55555555555556
4.96,5.4,2.41666666666667,3.625,5.92857142857143,5.6,2.4,5.61538461538461,4,6.44444444444444
7.08,6.33333333333333,2.75,4.125,6,6.33333333333333,1.4,5.92307692307692,4,7.88888888888889
4.96,6.06666666666667,2.41666666666667,3.75,5.21428571428571,5.4,1.4,5.92307692307692,4,6.33333333333333
4.56,6.73333333333333,1.5,3.375,6.5,6.26666666666667,2.6,7,4,7
4.6,6.26666666666667,2.83333333333333,4.5,6,6,2.6,6.23076923076923,4,5.44444444444444
2.76,5.66666666666667,2.33333333333333,3.875,5.42857142857143,5.4,4.2,5.15384615384615,4,4.33333333333333
4.28,5.66666666666667,2.58333333333333,4,4.28571428571429,4.33333333333333,3.2,5.30769230769231,4,4.44444444444444
5,7,1.5,3,4.07142857142857,5.53333333333333,3.4,4.30769230769231,4,3.11111111111111
5.44,6.2,3.41666666666667,3.875,6,5.86666666666667,1,7,4,7.77777777777778
6.6,6.53333333333333,2.66666666666667,3.875,6.07142857142857,5.86666666666667,1.4,6.46153846153846,4,7.11111111111111
4.96,5.53333333333333,1.66666666666667,3.125,6.07142857142857,5.93333333333333,3.6,5.15384615384615,4,5.55555555555556
5.6,6.26666666666667,1.91666666666667,3.625,5.5,5.06666666666667,4.2,5.61538461538461,4,6.11111111111111
6.12,6.06666666666667,2.5,3.375,6.35714285714286,5.93333333333333,4.6,6.23076923076923,4,7.33333333333333
6.4,6.13333333333333,3.08333333333333,3.875,5.57142857142857,5.86666666666667,3.8,5.53846153846154,4,7.11111111111111
4.16,5.06666666666667,2.08333333333333,3.625,4.85714285714286,5,2.2,5.61538461538461,4,5.77777777777778
6.6,6.93333333333333,2.75,4.25,5.92857142857143,6.13333333333333,4.4,5.53846153846154,4,7.33333333333333
3.88,6,2.16666666666667,3.75,5.85714285714286,3.93333333333333,5,5.53846153846154,4,6.44444444444444
6.92,6.4,2.25,3.75,6.21428571428571,6.26666666666667,3.2,5.46153846153846,4,7.11111111111111
5.96,6.73333333333333,2.83333333333333,3.5,6,6.2,3.2,5.69230769230769,4,6
4.2,6,2.41666666666667,3.375,5.71428571428571,5.13333333333333,3.2,4.23076923076923,4,5.55555555555556
4.36,5.86666666666667,1.66666666666667,3.25,6.21428571428571,5.93333333333333,3.4,6.30769230769231,4,3.77777777777778
2.92,5.13333333333333,1,3.125,5.07142857142857,4.86666666666667,2.6,6.30769230769231,4,4.11111111111111
3.56,5.8,2.25,3.75,5.57142857142857,4.86666666666667,1.2,5.69230769230769,4,4.88888888888889
6.08,6,2,4.25,5.92857142857143,5.4,3.8,6.07692307692308,4,6.11111111111111
4.64,6.13333333333333,1.83333333333333,3.5,5.71428571428571,5.86666666666667,4.4,5.46153846153846,4,6.33333333333333
4.2,4.86666666666667,2,2.625,5.21428571428571,4.93333333333333,3.4,4.53846153846154,4,5
4.44,6.06666666666667,2.16666666666667,3.25,5.71428571428571,5.2,3.6,5.46153846153846,4,6.11111111111111
6.24,6.4,1.75,3.375,5.57142857142857,5.53333333333333,2.2,5.23076923076923,4,7
6.12,5.53333333333333,2.41666666666667,3.625,4.85714285714286,4.73333333333333,1,4.92307692307692,4,6.77777777777778
4.84,4,2.33333333333333,3.375,4,4,5,4,4,1.55555555555556
7.04,6,3.41666666666667,3.25,5.92857142857143,5.53333333333333,2.8,5.69230769230769,4,6.88888888888889
3.64,4.2,2.25,3.25,4.14285714285714,4.6,4.2,4.69230769230769,4,5
4.48,6.46666666666667,2.5,3.25,5.21428571428571,6.13333333333333,3.2,6,4,8
5.04,5.86666666666667,2.08333333333333,3.375,5.92857142857143,5.93333333333333,4.4,5.53846153846154,4,6.33333333333333
3.48,7,2.08333333333333,4,6,6.86666666666667,4,5.76923076923077,4,4.66666666666667
5.16,6.4,2.75,3.75,6.14285714285714,6,4.2,5.76923076923077,4,5.77777777777778
5.2,6,1.58333333333333,3.625,5.21428571428571,5.26666666666667,3.8,5.15384615384615,4,5
4.4,5.86666666666667,2.91666666666667,3.125,5.07142857142857,5.4,2.8,4.69230769230769,4,4.77777777777778
4.76,5.86666666666667,2.5,2.875,5.78571428571429,5.93333333333333,3.4,6.15384615384615,4,6.55555555555556
5.56,6.46666666666667,2.75,3.125,6.21428571428571,6.26666666666667,2.8,6.38461538461539,4,6.77777777777778
4.68,5.93333333333333,1.83333333333333,3.375,6,6,2.2,5.76923076923077,4,6
4.36,6.66666666666667,2.75,3.25,6.42857142857143,6,4.4,6.30769230769231,4,6
5.6,5.13333333333333,1.41666666666667,2.5,5.21428571428571,5.06666666666667,3,6,4,5.55555555555556
5.84,5.93333333333333,2.25,2.75,6.21428571428571,6.06666666666667,3.8,6.23076923076923,4,6.22222222222222
4.04,5.8,2.16666666666667,3.125,4.42857142857143,4.6,5.8,5.76923076923077,4,6.77777777777778
3.56,5.73333333333333,2.91666666666667,3.25,4.57142857142857,4.6,4.4,4.61538461538461,4,5.11111111111111
5.24,5.93333333333333,2.41666666666667,3.375,5.85714285714286,4.93333333333333,4.8,4,4,6.33333333333333
5.4,6.86666666666667,2.83333333333333,4.125,6.57142857142857,6.26666666666667,3.6,6.46153846153846,4,6.88888888888889
3.72,5.6,2.5,4,6.07142857142857,6.13333333333333,2,4.15384615384615,4,6.11111111111111
5.16,6.53333333333333,1.75,3.625,4.14285714285714,5.86666666666667,3.6,6.69230769230769,4,6.55555555555556
3.56,5.73333333333333,2.5,3.375,5.28571428571429,5,2.4,4.84615384615385,4,4.11111111111111
5.28,5.8,2.41666666666667,3.375,5.35714285714286,5.86666666666667,5.8,5.15384615384615,4,4.11111111111111
5.48,6,1.91666666666667,2.625,5.64285714285714,4.8,2.8,4.53846153846154,4,5.55555555555556
6.88,6.86666666666667,2.83333333333333,4.25,5.71428571428571,5.86666666666667,3.8,5.53846153846154,4,3.33333333333333
7.12,6.66666666666667,3.08333333333333,4.375,6.5,6.66666666666667,2.2,6.92307692307692,4,8
6.36,6.46666666666667,2.5,3.875,6.42857142857143,6.8,1.8,5.46153846153846,4,7.22222222222222
5.12,5.06666666666667,2,4,6.28571428571429,5.2,3.8,6.30769230769231,4,7.77777777777778
5.48,5.86666666666667,1.75,3.875,2.57142857142857,5.66666666666667,5.2,5.76923076923077,4,6.44444444444444
4.24,7,1.16666666666667,2.625,6.57142857142857,6.93333333333333,6.4,5.15384615384615,4,4.44444444444444
3.24,5.6,1.66666666666667,3.125,6.14285714285714,6.6,5.6,6.23076923076923,4,6.55555555555556
4.44,6.06666666666667,2.41666666666667,3.375,5.92857142857143,5.6,3.4,4.53846153846154,4,6.44444444444444
5.08,5.26666666666667,2.58333333333333,3.5,5.35714285714286,5.06666666666667,4.2,5.23076923076923,4,6.11111111111111
5.08,6.53333333333333,2.08333333333333,3.875,5.71428571428571,5.06666666666667,1.6,6.76923076923077,4,6.66666666666667
4,4.6,2.08333333333333,3,4,4,4.8,4,4,4
6.04,6.33333333333333,2.33333333333333,4.5,6.21428571428571,6.13333333333333,2.6,6.53846153846154,4,6.55555555555556
6.24,4.73333333333333,3,3,5.21428571428571,5.13333333333333,3.6,4.61538461538461,4,7.22222222222222
5.16,6.26666666666667,2.25,3.5,6.42857142857143,6.13333333333333,3,5.92307692307692,4,7.11111111111111
4.6,5.8,2.08333333333333,3,4.85714285714286,5,2.8,4,4,3.44444444444444
4.64,5.4,2.25,4,5.14285714285714,4.46666666666667,5,4.53846153846154,4,5.33333333333333
5.28,5.66666666666667,1.16666666666667,3.375,5.78571428571429,5.93333333333333,2,6.23076923076923,4,6.77777777777778
6.72,6.46666666666667,2.08333333333333,3.625,6,6.06666666666667,4.6,5.84615384615385,4,7.55555555555556
6.8,6.73333333333333,2.33333333333333,3.25,6.64285714285714,6,1.2,6.46153846153846,4,7
3.68,5.53333333333333,1.58333333333333,3.375,5.28571428571429,4.93333333333333,1.6,4.07692307692308,4,4.22222222222222
5.84,6.4,2.25,3.375,6.21428571428571,6.2,3.8,6.15384615384615,4,6.55555555555556
5.44,5.8,1.91666666666667,2.25,5.85714285714286,6.26666666666667,3.2,5.53846153846154,4,5.77777777777778
5.56,6.2,2.41666666666667,3.25,5.85714285714286,5.73333333333333,3.2,5.15384615384615,4,6.44444444444444
4.88,6,2,3.5,5.21428571428571,5.53333333333333,2,5.92307692307692,4,6.33333333333333
5.8,6.33333333333333,1.66666666666667,3.25,6.35714285714286,6.13333333333333,1.4,6.76923076923077,4,7.55555555555556
4.16,6,2.16666666666667,3.125,5.64285714285714,5.26666666666667,2.8,3.69230769230769,4,5.66666666666667
6.4,5.8,3,4,5.78571428571429,5.06666666666667,2.2,6.15384615384615,4,7.55555555555556
2.88,6.53333333333333,1.5,2.75,6.07142857142857,5.93333333333333,5.2,4.30769230769231,4,3.44444444444444
