"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi"
5.7,6,2.75,3.125,5.42857142857143,5.2,2.4,5.30769230769231,4,5.22222222222222
8,6.53333333333333,3.5,4,7,7,1.8,6.53846153846154,4,8
3.85,6,3.16666666666667,3.5,6.07142857142857,5.86666666666667,3.2,6.53846153846154,4,5.11111111111111
5.15,6.6,2.33333333333333,3.625,6.5,6.4,3.4,5.07692307692308,4,7.33333333333333
6.85,6.53333333333333,1.66666666666667,4,6.28571428571429,6.46666666666667,3,6.46153846153846,4,7
4.95,6.26666666666667,2.75,2.875,5.42857142857143,6.13333333333333,4.8,6.23076923076923,4,7.44444444444444
2.7,6.06666666666667,1.91666666666667,3.25,5.64285714285714,6,4.2,5.46153846153846,4,4
5.6,6.86666666666667,2.16666666666667,3.5,6.14285714285714,5.86666666666667,4.6,3.61538461538462,4,3.22222222222222
5.15,5.06666666666667,2,3,4,4,5,4,4,4
4.75,5.93333333333333,2.25,3.375,5.85714285714286,5.2,5.2,5.30769230769231,4,5.55555555555556
4.5,5.86666666666667,2.58333333333333,4.125,5.78571428571429,5.53333333333333,2.8,5.76923076923077,4,4.55555555555556
4.15,5.46666666666667,2.25,3.875,6.07142857142857,5.8,3.8,5.76923076923077,4,6.44444444444444
7,5.6,2,3.25,5.57142857142857,6.66666666666667,4,5.92307692307692,4,4.44444444444444
4.85,6,2,3.875,6.28571428571429,5.73333333333333,3,5.84615384615385,4,6.33333333333333
4.95,6.06666666666667,2.75,3.125,5.57142857142857,5.6,3.8,5.76923076923077,4,6.55555555555556
4.8,5.66666666666667,2.41666666666667,3.5,5.35714285714286,5.26666666666667,4.4,5.15384615384615,4,6.22222222222222
4.5,6.13333333333333,2,3.875,5.64285714285714,5.4,3.4,5.69230769230769,4,4.33333333333333
4.35,5.2,1.91666666666667,3,5.57142857142857,5.4,2.2,4.23076923076923,4,5.88888888888889
5.45,5.6,2.25,3.5,5.64285714285714,5.13333333333333,2.2,5.76923076923077,4,7.66666666666667
5,6.4,2.5,3.5,6.28571428571429,7,5,4.38461538461539,4,3.55555555555556
2.9,6.73333333333333,2,2.75,4,4.73333333333333,4.2,4.53846153846154,4,2.44444444444444
