"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi","mt","lnr","har"
3.48,5.93333333333333,2.5,4.125,5.85714285714286,5.73333333333333,3.6,3.69230769230769,5.25,3.33333333333333,4,2.75,2.33333333333333
4.6,5.53333333333333,2.41666666666667,3.375,6,5.66666666666667,3.4,5.76923076923077,3.625,5,3.875,3.375,2.93333333333333
3.96,6.2,2.41666666666667,2.875,5.85714285714286,6.26666666666667,2.8,6.07692307692308,6.125,3,3.625,4,3.73333333333333
3.36,4.73333333333333,2.41666666666667,4.25,5.07142857142857,5,3,5.92307692307692,6.5,3.88888888888889,4,2.875,3.06666666666667
3.4,5.06666666666667,2.91666666666667,4,5.07142857142857,5.2,2.8,5.30769230769231,6,3.88888888888889,4.375,3.5,3.4
2.04,5.66666666666667,1.75,3.75,5.71428571428571,5,3.8,5,5,2.22222222222222,3,2.25,2.13333333333333
3.24,5.4,1.91666666666667,3.625,5.57142857142857,5.2,4.2,4.46153846153846,4.875,3.33333333333333,3.5,2.25,2.4
3.24,5,2.08333333333333,3.25,5.07142857142857,5.2,4,4.84615384615385,4.75,3.33333333333333,3.375,2.625,2.6
3.8,6.6,2.16666666666667,4.5,6.64285714285714,6.26666666666667,3.4,6.23076923076923,5.375,4.11111111111111,4.5,2.625,2.73333333333333
3.16,4.93333333333333,2.08333333333333,3.25,5.5,5,3.6,5.69230769230769,5.25,3.22222222222222,3.75,2.75,2.53333333333333
4,6,2.91666666666667,4.25,6,6,4,6,5.625,4.44444444444444,4.25,3.375,3.2
2.72,5.13333333333333,2.33333333333333,3.625,5.28571428571429,4.86666666666667,4.4,5.46153846153846,5.125,3.77777777777778,3.75,2.75,3
2.68,5.4,2.16666666666667,3.5,5.5,5.6,3.8,4.92307692307692,5.625,3.11111111111111,4,2.625,2.4
2.24,6.13333333333333,2.25,4.125,6.35714285714286,5.4,2.6,5.46153846153846,4.5,2.33333333333333,4.125,3,2.93333333333333
3.48,5.73333333333333,2.33333333333333,3.75,6.14285714285714,6,3,5.53846153846154,5.25,4.11111111111111,4,2.875,2.46666666666667
2.64,4.46666666666667,2.41666666666667,3.625,4.21428571428571,4.53333333333333,3.6,4,5.75,1.55555555555556,2.875,3.25,2.8
4.6,5.66666666666667,2.75,4.375,5.42857142857143,5.13333333333333,3.8,5.69230769230769,6.625,4.77777777777778,4.5,3,2.53333333333333
4.8,6,3.5,5,6,6.4,3.6,5.53846153846154,7,4.77777777777778,5,2.625,3.13333333333333
2.56,5.33333333333333,1.83333333333333,3.625,4.5,4.53333333333333,3.2,5.07692307692308,5.125,3.22222222222222,4.25,3.25,3.06666666666667
4,5.6,1.75,4.25,4.14285714285714,5.4,3.6,4.92307692307692,5.75,3.88888888888889,3.625,3,3.06666666666667
4.04,6.13333333333333,2.25,3.75,6.28571428571429,6,3.6,5.76923076923077,6,4.55555555555556,4.25,3.25,3.2
2.8,5.4,2.41666666666667,4.125,4.57142857142857,5.26666666666667,3.6,4.92307692307692,5.75,3.44444444444444,4.125,2.875,3
3.76,4.8,2.83333333333333,4.125,5.5,5.53333333333333,3.4,5.76923076923077,6.125,4.33333333333333,4.5,3.5,3.6
3.44,5.06666666666667,2,3.375,4.64285714285714,5.06666666666667,3.6,5,4.625,2.77777777777778,3.5,2.5,2.4
1.84,5.26666666666667,2.83333333333333,4.125,4.92857142857143,5.26666666666667,3.4,5.15384615384615,6.375,3.55555555555556,4.625,2.75,2.93333333333333
3.32,5.93333333333333,2.41666666666667,4.25,6.28571428571429,6.13333333333333,3.8,5.07692307692308,6,3.55555555555556,3.875,3.25,3.06666666666667
3.8,5.8,2.58333333333333,3.25,4.85714285714286,5.93333333333333,4,5.07692307692308,4.625,4,4,3.75,3.6
2.56,5,1.41666666666667,2.625,4.92857142857143,4.33333333333333,3.4,4.76923076923077,3.5,3.55555555555556,3.125,2.625,2.46666666666667
2.72,4.06666666666667,2.16666666666667,2.75,4.21428571428571,5,4,3.61538461538462,4.625,3.33333333333333,3.875,3.75,3.33333333333333
3.16,6.73333333333333,2.91666666666667,4.125,6.64285714285714,6.6,3.6,5.84615384615385,4.75,2.66666666666667,4.75,3.375,3.26666666666667
3.92,6.2,2.66666666666667,3.875,6.5,6,2.8,6.53846153846154,5.375,4.55555555555556,4.25,3.125,3.2
2.44,5.6,1.83333333333333,3.375,5.5,5.2,3.2,5.76923076923077,5.875,2.55555555555556,3.375,3.375,3
4.24,6.13333333333333,3.5,4.625,6.35714285714286,6.2,3.4,5.92307692307692,5.75,4.55555555555556,4.625,3,3
2.24,5.46666666666667,2.41666666666667,3.5,5.14285714285714,5.06666666666667,3.4,5.84615384615385,5.875,3.11111111111111,4,3.25,2.8
2.88,5.53333333333333,2.25,2.625,5.64285714285714,5.26666666666667,3.4,4.69230769230769,4.75,3.66666666666667,4.125,2.75,3
2.96,5.2,2.08333333333333,3.625,5.21428571428571,5.26666666666667,4,5.46153846153846,5.75,3.11111111111111,3.625,3,2.86666666666667
3.32,5.8,1.75,3.375,5.64285714285714,5.53333333333333,4.8,5.46153846153846,5.25,3.55555555555556,4.125,3.25,3.06666666666667
3.76,5.6,2.25,4,6,4.8,3.2,6,6.375,4.55555555555556,4.5,3.125,3.13333333333333
3.56,6.4,2.66666666666667,3.5,6.5,6.06666666666667,4,6.61538461538461,5.375,4,4.125,3.375,2.93333333333333
3.84,5.6,2.58333333333333,3.875,5.92857142857143,6.06666666666667,4,5.30769230769231,4.75,4.66666666666667,4.625,3,2.73333333333333
2.96,4.86666666666667,1.5,3.25,4.5,4.73333333333333,3.2,5.23076923076923,6.125,3.44444444444444,3.25,2.875,2.46666666666667
4.08,4.93333333333333,2.33333333333333,3.5,5.57142857142857,4.6,2.8,4.69230769230769,5.375,4.33333333333333,4.25,3,3.13333333333333
1.76,5.86666666666667,2.25,3,5.5,5.8,4.2,4.69230769230769,6,1.55555555555556,3.5,3.5,2.73333333333333
3.44,5,1.83333333333333,3.25,5.07142857142857,5.06666666666667,4,4.76923076923077,5.625,3.11111111111111,2.875,2.5,2.53333333333333
1.92,5.6,1.58333333333333,4,4.28571428571429,5.53333333333333,3.8,4.76923076923077,3,1.88888888888889,4.875,2.875,3.06666666666667
2.6,5.73333333333333,2.41666666666667,4,5.92857142857143,6.06666666666667,4.4,5.84615384615385,3.75,3.33333333333333,4.125,2.875,3
